moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
2003-05,836.0,27.0,315.0,1177.0,504.0,513.0,460.0,166.0,2.0,362.0,37.0,2145.0,189.0,2489.0,468.0,81.0
2003-06,1314.0,11.0,420.0,1511.0,758.0,671.0,702.0,246.0,15.0,483.0,48.0,3358.0,202.0,3651.0,612.0,103.0
2003-07,769.0,12.0,286.0,941.0,514.0,408.0,504.0,136.0,2.0,291.0,29.0,1902.0,150.0,2111.0,424.0,67.0
2003-08,944.0,15.0,319.0,1232.0,568.0,468.0,674.0,167.0,2.0,271.0,31.0,2038.0,196.0,2426.0,427.0,58.0
2003-09,965.0,9.0,268.0,1147.0,553.0,448.0,524.0,174.0,6.0,315.0,27.0,2100.0,167.0,2631.0,554.0,87.0
2003-10,1089.0,2.0,323.0,1391.0,654.0,548.0,544.0,190.0,14.0,291.0,17.0,2502.0,187.0,2842.0,602.0,67.0
2003-11,1026.0,4.0,267.0,1440.0,816.0,612.0,615.0,194.0,12.0,418.0,25.0,2695.0,209.0,2682.0,559.0,91.0
2003-12,1480.0,2.0,467.0,1783.0,1161.0,853.0,780.0,260.0,11.0,510.0,57.0,3774.0,270.0,3952.0,860.0,163.0
2004-01,605.0,11.0,193.0,679.0,404.0,295.0,384.0,95.0,2.0,214.0,17.0,1367.0,98.0,1489.0,276.0,43.0
2004-02,832.0,21.0,262.0,953.0,461.0,437.0,399.0,96.0,2.0,290.0,38.0,1673.0,121.0,1798.0,373.0,51.0
2004-03,1108.0,13.0,237.0,1118.0,665.0,510.0,529.0,157.0,3.0,356.0,41.0,2295.0,240.0,2433.0,548.0,88.0
2004-04,989.0,15.0,304.0,1145.0,609.0,573.0,514.0,199.0,5.0,407.0,35.0,2274.0,176.0,2398.0,521.0,43.0
2004-05,1189.0,13.0,384.0,1124.0,657.0,522.0,486.0,190.0,3.0,446.0,47.0,2405.0,169.0,2293.0,525.0,48.0
2004-06,1582.0,14.0,476.0,1445.0,878.0,698.0,647.0,344.0,1.0,604.0,37.0,3521.0,230.0,3624.0,715.0,104.0
2004-07,1012.0,22.0,330.0,1148.0,604.0,486.0,531.0,216.0,3.0,405.0,33.0,2240.0,137.0,2270.0,461.0,54.0
2004-08,966.0,11.0,314.0,1068.0,553.0,440.0,441.0,213.0,4.0,360.0,42.0,2215.0,155.0,2129.0,511.0,38.0
2004-09,1041.0,18.0,308.0,1133.0,604.0,555.0,415.0,181.0,7.0,399.0,32.0,2080.0,154.0,2115.0,507.0,27.0
2004-10,998.0,22.0,333.0,990.0,553.0,530.0,438.0,198.0,3.0,389.0,19.0,2180.0,209.0,1991.0,458.0,44.0
2004-11,926.0,20.0,299.0,959.0,621.0,478.0,478.0,170.0,2.0,427.0,18.0,2251.0,180.0,2022.0,396.0,61.0
2004-12,1415.0,29.0,392.0,1497.0,1040.0,752.0,839.0,282.0,2.0,622.0,33.0,3682.0,211.0,3453.0,724.0,125.0
2005-01,583.0,9.0,165.0,686.0,447.0,290.0,308.0,136.0,2.0,221.0,15.0,1102.0,86.0,1268.0,318.0,34.0
2005-02,764.0,13.0,241.0,640.0,484.0,383.0,337.0,146.0,1.0,389.0,29.0,1446.0,98.0,1406.0,312.0,63.0
2005-03,900.0,22.0,338.0,840.0,646.0,559.0,479.0,166.0,3.0,473.0,14.0,1909.0,140.0,1913.0,542.0,49.0
2005-04,1027.0,2.0,350.0,906.0,710.0,650.0,505.0,195.0,,445.0,26.0,2099.0,163.0,1991.0,490.0,37.0
2005-05,942.0,6.0,362.0,847.0,707.0,683.0,477.0,228.0,8.0,457.0,33.0,1954.0,164.0,1948.0,505.0,52.0
2005-06,1424.0,21.0,401.0,1257.0,1095.0,950.0,963.0,335.0,3.0,647.0,65.0,3459.0,277.0,3002.0,832.0,56.0
2005-07,1049.0,13.0,280.0,1020.0,778.0,608.0,512.0,251.0,3.0,330.0,26.0,1983.0,169.0,2020.0,487.0,38.0
2005-08,944.0,8.0,287.0,818.0,722.0,550.0,585.0,232.0,1.0,385.0,29.0,2010.0,155.0,2006.0,564.0,32.0
